
> civil-ai-web@0.1.0 dev
> next dev --hostname 127.0.0.1 --port 3000

▲ Next.js 16.2.1 (Turbopack)
- Local:         http://127.0.0.1:3000
- Network:       http://127.0.0.1:3000
- Environments: .env.local
✓ Ready in 824ms

 GET / 200 in 305ms (next.js: 155ms, application-code: 150ms)
 GET / 200 in 31ms (next.js: 4ms, application-code: 28ms)
 GET /chat 200 in 88ms (next.js: 31ms, application-code: 58ms)
 GET /about 200 in 75ms (next.js: 26ms, application-code: 49ms)
 GET /account 200 in 52ms (next.js: 25ms, application-code: 27ms)
 GET /login 200 in 86ms (next.js: 27ms, application-code: 58ms)
 GET /register 200 in 58ms (next.js: 26ms, application-code: 32ms)
 GET /subscription 200 in 67ms (next.js: 29ms, application-code: 38ms)
 GET / 200 in 37ms (next.js: 5ms, application-code: 32ms)
 GET /chat 200 in 25ms (next.js: 5ms, application-code: 20ms)
 GET /about 200 in 19ms (next.js: 3ms, application-code: 16ms)
 GET /account 200 in 18ms (next.js: 3ms, application-code: 15ms)
 GET /chat 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /chat 200 in 71ms (next.js: 42ms, application-code: 28ms)
 GET /chat 200 in 30ms (next.js: 4ms, application-code: 27ms)
 GET /chat 200 in 17ms (next.js: 3ms, application-code: 14ms)
 GET /chat 200 in 21ms (next.js: 4ms, application-code: 18ms)
 GET /chat 200 in 26ms (next.js: 3ms, application-code: 23ms)
 GET /chat 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET /chat 200 in 35ms (next.js: 3ms, application-code: 33ms)
 GET /chat 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET /chat 200 in 36ms (next.js: 3ms, application-code: 32ms)
 GET /chat 200 in 31ms (next.js: 1994µs, application-code: 29ms)
 GET /chat 200 in 31ms (next.js: 2ms, application-code: 29ms)
 GET /chat 200 in 53ms (next.js: 1929µs, application-code: 51ms)
 GET /chat 200 in 68ms (next.js: 3ms, application-code: 65ms)
 GET /chat 200 in 71ms (next.js: 2ms, application-code: 68ms)
 GET /chat 200 in 84ms (next.js: 3ms, application-code: 81ms)
 GET /chat 200 in 84ms (next.js: 3ms, application-code: 82ms)
 GET /chat 200 in 85ms (next.js: 3ms, application-code: 82ms)
 GET /chat 200 in 87ms (next.js: 4ms, application-code: 83ms)
 GET /chat 200 in 73ms (next.js: 3ms, application-code: 71ms)
 GET /chat 200 in 59ms (next.js: 3ms, application-code: 56ms)
 GET /chat 200 in 43ms (next.js: 3ms, application-code: 40ms)
 GET /chat 200 in 26ms (next.js: 2ms, application-code: 24ms)
 GET /chat 200 in 84ms (next.js: 53ms, application-code: 31ms)
 GET /chat 200 in 27ms (next.js: 4ms, application-code: 24ms)
 GET /chat 200 in 24ms (next.js: 3ms, application-code: 21ms)
 GET /chat 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /chat 200 in 23ms (next.js: 3ms, application-code: 20ms)
 GET /chat 200 in 20ms (next.js: 3ms, application-code: 17ms)
 GET /chat 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET /chat 200 in 41ms (next.js: 2ms, application-code: 38ms)
 GET /chat 200 in 39ms (next.js: 3ms, application-code: 36ms)
 GET /chat 200 in 19ms (next.js: 2ms, application-code: 17ms)
 GET /chat 200 in 36ms (next.js: 3ms, application-code: 33ms)
 GET /chat 200 in 37ms (next.js: 2ms, application-code: 34ms)
 GET /chat 200 in 97ms (next.js: 2ms, application-code: 95ms)
 GET /chat 200 in 84ms (next.js: 3ms, application-code: 81ms)
 GET /chat 200 in 106ms (next.js: 4ms, application-code: 102ms)
 GET /chat 200 in 106ms (next.js: 21ms, application-code: 85ms)
 GET /chat 200 in 106ms (next.js: 3ms, application-code: 104ms)
 GET /chat 200 in 85ms (next.js: 4ms, application-code: 81ms)
